event,brand,feature,launch_date,product_type,sentiment_IV1,pre_expect_score_IV2,competitor_freq_IV3,inbrand_freq_IV3b,post_sentiment_DV,pre_launch_volume,post_review_count,source_mix
ipad_pro_2018,Apple,battery,07/11/2018,1,0.212,-0.002,0.046,0.956,0.2072,500,200,1
ipad_pro_2018,Apple,price,07/11/2018,1,0.212,-0.0221,0.046,0.956,0.13,500,200,1
ipad_pro_2018,Apple,performance,07/11/2018,1,0.212,0.0333,0.046,0.956,0.6768,500,200,1
ipad_pro_2018,Apple,display,07/11/2018,1,0.212,0.0341,0.046,0.956,0.2348,500,200,1
ipad_air_m1,Apple,battery,18/03/2022,1,0.1286,-0.0034,0.052,0.942,0.0266,500,200,1
ipad_air_m1,Apple,price,18/03/2022,1,0.1286,-0.0467,0.052,0.942,0.3131,500,200,1
ipad_air_m1,Apple,performance,18/03/2022,1,0.1286,0.0046,0.052,0.942,0.6759,500,200,1
ipad_air_m1,Apple,display,18/03/2022,1,0.1286,0.0053,0.052,0.942,0.5165,500,200,1
galaxy_s6,Samsung,battery,10/04/2015,1,0.0034,0.0066,0.198,0.944,-0.4215,500,200,1
galaxy_s6,Samsung,price,10/04/2015,1,0.0034,-0.0087,0.198,0.944,-0.3329,500,200,1
galaxy_s6,Samsung,performance,10/04/2015,1,0.0034,-0.0086,0.198,0.944,0.486,500,200,1
galaxy_s6,Samsung,display,10/04/2015,1,0.0034,-0.006,0.198,0.944,0.7028,500,200,1
galaxy_s20_fe,Samsung,battery,02/10/2020,1,0.044,0,0.15,0.97,0.2841,500,200,1
galaxy_s20_fe,Samsung,price,02/10/2020,1,0.044,-0.0427,0.15,0.97,0.4569,500,200,1
galaxy_s20_fe,Samsung,performance,02/10/2020,1,0.044,-0.0027,0.15,0.97,0.5815,500,200,1
galaxy_s20_fe,Samsung,display,02/10/2020,1,0.044,-0.01,0.15,0.97,0.1297,500,200,1
galaxy_s22_ultra,Samsung,battery,25/02/2022,1,-0.0609,-0.0253,0.166,0.95,-0.262,500,200,1
galaxy_s22_ultra,Samsung,price,25/02/2022,1,-0.0609,-0.044,0.166,0.95,-0.57,500,200,1
galaxy_s22_ultra,Samsung,performance,25/02/2022,1,-0.0609,-0.0314,0.166,0.95,0.0281,500,200,1
galaxy_s22_ultra,Samsung,display,25/02/2022,1,-0.0609,0.0054,0.166,0.95,0.2604,500,200,1
lg_g3,LG,battery,18/07/2014,1,0.1693,0.0054,0.21,0.986,0.4979,500,200,1
lg_g3,LG,price,18/07/2014,1,0.1693,-0.0047,0.21,0.986,0.1586,500,200,1
