event,brand,feature,launch_date,product_type,sentiment_IV1,pre_expect_score_IV2,competitor_freq_IV3,inbrand_freq_IV3b,post_sentiment_DV,pre_launch_volume,post_review_count,source_mix
ipad_pro_2018,Apple,battery,07/11/2018,1,0.1911,-0.0007,0.053,0.964,0.2072,1000,200,1.0
ipad_pro_2018,Apple,price,07/11/2018,1,0.1911,-0.0254,0.053,0.964,0.13,1000,200,1.0
ipad_pro_2018,Apple,performance,07/11/2018,1,0.1911,0.0237,0.053,0.964,0.6768,1000,200,1.0
ipad_pro_2018,Apple,display,07/11/2018,1,0.1911,0.0401,0.053,0.964,0.2348,1000,200,1.0
ipad_air_m1,Apple,battery,18/03/2022,1,0.1286,-0.0034,0.052,0.942,0.0266,500,200,1.0
ipad_air_m1,Apple,price,18/03/2022,1,0.1286,-0.0467,0.052,0.942,0.3131,500,200,1.0
ipad_air_m1,Apple,performance,18/03/2022,1,0.1286,0.0046,0.052,0.942,0.6759,500,200,1.0
ipad_air_m1,Apple,display,18/03/2022,1,0.1286,0.0053,0.052,0.942,0.5165,500,200,1.0
galaxy_s6,Samsung,battery,10/04/2015,1,0.0236,-0.0075,0.174,0.938,-0.4215,2000,200,1.0
galaxy_s6,Samsung,price,10/04/2015,1,0.0236,-0.0205,0.174,0.938,-0.3329,2000,200,1.0
galaxy_s6,Samsung,performance,10/04/2015,1,0.0236,0.007,0.174,0.938,0.486,2000,200,1.0
galaxy_s6,Samsung,display,10/04/2015,1,0.0236,-0.0008,0.174,0.938,0.7028,2000,200,1.0
galaxy_s20_fe,Samsung,battery,02/10/2020,1,0.044,0.0,0.15,0.97,0.2841,500,200,1.0
galaxy_s20_fe,Samsung,price,02/10/2020,1,0.044,-0.0427,0.15,0.97,0.4569,500,200,1.0
galaxy_s20_fe,Samsung,performance,02/10/2020,1,0.044,-0.0027,0.15,0.97,0.5815,500,200,1.0
galaxy_s20_fe,Samsung,display,02/10/2020,1,0.044,-0.01,0.15,0.97,0.1297,500,200,1.0
galaxy_s22_ultra,Samsung,battery,25/02/2022,1,-0.0337,-0.0183,0.182,0.944,-0.262,1000,200,1.0
galaxy_s22_ultra,Samsung,price,25/02/2022,1,-0.0337,-0.032,0.182,0.944,-0.57,1000,200,1.0
galaxy_s22_ultra,Samsung,performance,25/02/2022,1,-0.0337,-0.026,0.182,0.944,0.0281,1000,200,1.0
galaxy_s22_ultra,Samsung,display,25/02/2022,1,-0.0337,0.004,0.182,0.944,0.2604,1000,200,1.0
lg_g3,LG,battery,18/07/2014,1,0.1693,0.0054,0.21,0.986,0.4979,500,200,1.0
lg_g3,LG,price,18/07/2014,1,0.1693,-0.0047,0.21,0.986,0.1586,500,200,1.0
lg_g3,LG,performance,18/07/2014,1,0.1693,-0.0134,0.21,0.986,0.7131,500,200,1.0
lg_g3,LG,display,18/07/2014,1,0.1693,-0.0121,0.21,0.986,0.8086,500,200,1.0
moto_g_fast,Motorola,battery,18/06/2020,0,0.1353,-0.016,0.292,0.934,0.5883,500,200,1.0
moto_g_fast,Motorola,price,18/06/2020,0,0.1353,0.0147,0.292,0.934,0.5486,500,200,1.0
moto_g_fast,Motorola,performance,18/06/2020,0,0.1353,0.0128,0.292,0.934,0.542,500,200,1.0
moto_g_fast,Motorola,display,18/06/2020,0,0.1353,0.026,0.292,0.934,0.4684,500,200,1.0
pixel_3a,Google,battery,07/05/2019,0,-0.0168,-0.0294,0.225,0.9585,0.5182,2000,200,1.0
pixel_3a,Google,price,07/05/2019,0,-0.0168,-0.0418,0.225,0.9585,0.6376,2000,200,1.0
pixel_3a,Google,performance,07/05/2019,0,-0.0168,-0.016,0.225,0.9585,0.7263,2000,200,1.0
pixel_3a,Google,display,07/05/2019,0,-0.0168,-0.005,0.225,0.9585,0.4475,2000,200,1.0
pixel_4a,Google,battery,20/08/2020,0,0.0776,-0.0045,0.151,0.9795,0.4614,2000,200,1.0
pixel_4a,Google,price,20/08/2020,0,0.0776,-0.029,0.151,0.9795,0.7171,2000,200,1.0
pixel_4a,Google,performance,20/08/2020,0,0.0776,0.0147,0.151,0.9795,0.5851,2000,200,1.0
pixel_4a,Google,display,20/08/2020,0,0.0776,0.0027,0.151,0.9795,0.2305,2000,200,1.0
galaxy_tab_s2,Samsung,battery,21/08/2015,0,0.0604,-0.006,0.318,0.866,0.0217,500,200,1.0
galaxy_tab_s2,Samsung,price,21/08/2015,0,0.0604,0.0207,0.318,0.866,0.5537,500,200,1.0
galaxy_tab_s2,Samsung,performance,21/08/2015,0,0.0604,0.0067,0.318,0.866,0.4168,500,200,1.0
