event,brand,feature,launch_date,product_type,sentiment_IV1,pre_expect_score_IV2,competitor_freq_IV3,inbrand_freq_IV3b,sentiment_IV1_c,pre_expect_score_IV2_c,competitor_freq_IV3_c,inbrand_freq_IV3b_c,post_sentiment_DV,pre_launch_volume,post_review_count,source_mix
ipad_pro_2018,Apple,battery,07/11/2018,1,0.212,-0.002,0.046,0.956,0.13987692307692307,0.005940384615384615,-0.12615384615384606,0.004615384615384688,0.2072,2906,317,1
ipad_pro_2018,Apple,price,07/11/2018,1,0.212,-0.0221,0.046,0.956,0.13987692307692307,-0.014159615384615387,-0.12615384615384606,0.004615384615384688,0.13,2906,317,1
ipad_pro_2018,Apple,performance,07/11/2018,1,0.212,0.0333,0.046,0.956,0.13987692307692307,0.041240384615384616,-0.12615384615384606,0.004615384615384688,0.6768,2906,317,1
ipad_pro_2018,Apple,display,07/11/2018,1,0.212,0.0341,0.046,0.956,0.13987692307692307,0.04204038461538461,-0.12615384615384606,0.004615384615384688,0.2348,2906,317,1
ipad_air_m1,Apple,battery,18/03/2022,1,0.1286,-0.0034,0.052,0.942,0.05647692307692306,0.0045403846153846145,-0.12015384615384608,-0.009384615384615325,0.0266,1361,213,1
ipad_air_m1,Apple,price,18/03/2022,1,0.1286,-0.0467,0.052,0.942,0.05647692307692306,-0.038759615384615385,-0.12015384615384608,-0.009384615384615325,0.3131,1361,213,1
ipad_air_m1,Apple,performance,18/03/2022,1,0.1286,0.0046,0.052,0.942,0.05647692307692306,0.012540384615384615,-0.12015384615384608,-0.009384615384615325,0.6759,1361,213,1
ipad_air_m1,Apple,display,18/03/2022,1,0.1286,0.0053,0.052,0.942,0.05647692307692306,0.013240384615384616,-0.12015384615384608,-0.009384615384615325,0.5165,1361,213,1
galaxy_s6,Samsung,battery,10/04/2015,1,0.0034,0.0066,0.198,0.944,-0.06872307692307693,0.014540384615384615,0.025846153846153935,-0.007384615384615323,-0.4215,5269,204,1
galaxy_s6,Samsung,price,10/04/2015,1,0.0034,-0.0087,0.198,0.944,-0.06872307692307693,-0.0007596153846153846,0.025846153846153935,-0.007384615384615323,-0.3329,5269,204,1
galaxy_s6,Samsung,performance,10/04/2015,1,0.0034,-0.0086,0.198,0.944,-0.06872307692307693,-0.0006596153846153852,0.025846153846153935,-0.007384615384615323,0.486,5269,204,1
galaxy_s6,Samsung,display,10/04/2015,1,0.0034,-0.006,0.198,0.944,-0.06872307692307693,0.0019403846153846147,0.025846153846153935,-0.007384615384615323,0.7028,5269,204,1
galaxy_s20_fe,Samsung,battery,02/10/2020,1,0.044,0.0,0.15,0.97,-0.02812307692307693,0.007940384615384615,-0.02215384615384608,0.0186153846153847,0.2841,2754,224,1
galaxy_s20_fe,Samsung,price,02/10/2020,1,0.044,-0.0427,0.15,0.97,-0.02812307692307693,-0.03475961538461539,-0.02215384615384608,0.0186153846153847,0.4569,2754,224,1
galaxy_s20_fe,Samsung,performance,02/10/2020,1,0.044,-0.0027,0.15,0.97,-0.02812307692307693,0.005240384615384615,-0.02215384615384608,0.0186153846153847,0.5815,2754,224,1
galaxy_s20_fe,Samsung,display,02/10/2020,1,0.044,-0.01,0.15,0.97,-0.02812307692307693,-0.0020596153846153854,-0.02215384615384608,0.0186153846153847,0.1297,2754,224,1
galaxy_s22_ultra,Samsung,battery,25/02/2022,1,-0.0609,-0.0253,0.166,0.95,-0.13302307692307694,-0.017359615384615383,-0.006153846153846065,-0.0013846153846153175,-0.262,3713,250,1
galaxy_s22_ultra,Samsung,price,25/02/2022,1,-0.0609,-0.044,0.166,0.95,-0.13302307692307694,-0.036059615384615384,-0.006153846153846065,-0.0013846153846153175,-0.57,3713,250,1
galaxy_s22_ultra,Samsung,performance,25/02/2022,1,-0.0609,-0.0314,0.166,0.95,-0.13302307692307694,-0.023459615384615384,-0.006153846153846065,-0.0013846153846153175,0.0281,3713,250,1
galaxy_s22_ultra,Samsung,display,25/02/2022,1,-0.0609,0.0054,0.166,0.95,-0.13302307692307694,0.013340384615384615,-0.006153846153846065,-0.0013846153846153175,0.2604,3713,250,1
lg_g3,LG,battery,18/07/2014,1,0.1693,0.0054,0.21,0.986,0.09717692307692308,0.013340384615384615,0.03784615384615392,0.034615384615384714,0.4979,2802,214,1
lg_g3,LG,price,18/07/2014,1,0.1693,-0.0047,0.21,0.986,0.09717692307692308,0.0032403846153846146,0.03784615384615392,0.034615384615384714,0.1586,2802,214,1
lg_g3,LG,performance,18/07/2014,1,0.1693,-0.0134,0.21,0.986,0.09717692307692308,-0.005459615384615386,0.03784615384615392,0.034615384615384714,0.7131,2802,214,1
lg_g3,LG,display,18/07/2014,1,0.1693,-0.0121,0.21,0.986,0.09717692307692308,-0.004159615384615385,0.03784615384615392,0.034615384615384714,0.8086,2802,214,1
moto_g_fast,Motorola,battery,18/06/2020,0,0.1353,-0.016,0.292,0.934,0.06317692307692307,-0.008059615384615386,0.11984615384615391,-0.01738461538461522,0.5883,1190,212,1
moto_g_fast,Motorola,price,18/06/2020,0,0.1353,0.0147,0.292,0.934,0.06317692307692307,0.022640384615384614,0.11984615384615391,-0.01738461538461522,0.5486,1190,212,1
moto_g_fast,Motorola,performance,18/06/2020,0,0.1353,0.0128,0.292,0.934,0.06317692307692307,0.020740384615384615,0.11984615384615391,-0.01738461538461522,0.542,1190,212,1
moto_g_fast,Motorola,display,18/06/2020,0,0.1353,0.026,0.292,0.934,0.06317692307692307,0.033940384615384615,0.11984615384615391,-0.01738461538461522,0.4684,1190,212,1
pixel_3a,Google,battery,07/05/2019,0,-0.0372,-0.034,0.222,0.962,-0.10932307692307693,-0.02605961538461539,0.04984615384615393,0.010615384615384693,0.5182,5026,248,1
pixel_3a,Google,price,07/05/2019,0,-0.0372,-0.0334,0.222,0.962,-0.10932307692307693,-0.025459615384615386,0.04984615384615393,0.010615384615384693,0.6376,5026,248,1
pixel_3a,Google,performance,07/05/2019,0,-0.0372,-0.0174,0.222,0.962,-0.10932307692307693,-0.009459615384615384,0.04984615384615393,0.010615384615384693,0.7263,5026,248,1
pixel_3a,Google,display,07/05/2019,0,-0.0372,-0.0167,0.222,0.962,-0.10932307692307693,-0.008759615384615385,0.04984615384615393,0.010615384615384693,0.4475,5026,248,1
pixel_4a,Google,battery,20/08/2020,0,0.0062,-0.0173,0.182,0.974,-0.06592307692307693,-0.009359615384615385,0.009846153846153921,0.022615384615384704,0.4614,7448,313,1
pixel_4a,Google,price,20/08/2020,0,0.0062,-0.0407,0.182,0.974,-0.06592307692307693,-0.03275961538461539,0.009846153846153921,0.022615384615384704,0.7171,7448,313,1
pixel_4a,Google,performance,20/08/2020,0,0.0062,0.0094,0.182,0.974,-0.06592307692307693,0.017340384615384615,0.009846153846153921,0.022615384615384704,0.5851,7448,313,1
pixel_4a,Google,display,20/08/2020,0,0.0062,-0.004,0.182,0.974,-0.06592307692307693,0.003940384615384615,0.009846153846153921,0.022615384615384704,0.2305,7448,313,1
galaxy_tab_s2,Samsung,battery,21/08/2015,0,0.0604,-0.006,0.318,0.866,-0.011723076923076926,0.0019403846153846147,0.14584615384615393,-0.08538461538461528,0.0217,599,1061,1
galaxy_tab_s2,Samsung,price,21/08/2015,0,0.0604,0.0207,0.318,0.866,-0.011723076923076926,0.028640384615384616,0.14584615384615393,-0.08538461538461528,0.5537,599,1061,1
galaxy_tab_s2,Samsung,performance,21/08/2015,0,0.0604,0.0067,0.318,0.866,-0.011723076923076926,0.014640384615384614,0.14584615384615393,-0.08538461538461528,0.4168,599,1061,1
galaxy_tab_s2,Samsung,display,21/08/2015,0,0.0604,0.0101,0.318,0.866,-0.011723076923076926,0.018040384615384614,0.14584615384615393,-0.08538461538461528,0.38,599,1061,1
moto_g_3rd_gen,Motorola,battery,28/07/2015,0,0.0802,-0.0054,0.24,0.962,0.008076923076923065,0.0025403846153846145,0.06784615384615392,0.010615384615384693,0.4477,674,304,1
moto_g_3rd_gen,Motorola,price,28/07/2015,0,0.0802,-0.0086,0.24,0.962,0.008076923076923065,-0.0006596153846153852,0.06784615384615392,0.010615384615384693,0.7658,674,304,1
moto_g_3rd_gen,Motorola,performance,28/07/2015,0,0.0802,-0.014,0.24,0.962,0.008076923076923065,-0.0060596153846153855,0.06784615384615392,0.010615384615384693,0.7045,674,304,1
moto_g_3rd_gen,Motorola,display,28/07/2015,0,0.0802,-0.016,0.24,0.962,0.008076923076923065,-0.008059615384615386,0.06784615384615392,0.010615384615384693,0.4845,674,304,1
ipad_air_2,Apple,battery,22/10/2014,1,0.143,-0.0053,0.058,0.958,0.07087692307692306,0.0026403846153846148,-0.11415384615384608,0.00661538461538469,0.1383,1758,198,1
ipad_air_2,Apple,price,22/10/2014,1,0.143,-0.02,0.058,0.958,0.07087692307692306,-0.012059615384615386,-0.11415384615384608,0.00661538461538469,0.0231,1758,198,1
ipad_air_2,Apple,performance,22/10/2014,1,0.143,0.024,0.058,0.958,0.07087692307692306,0.031940384615384614,-0.11415384615384608,0.00661538461538469,0.6222,1758,198,1
ipad_air_2,Apple,display,22/10/2014,1,0.143,0.0047,0.058,0.958,0.07087692307692306,0.012640384615384616,-0.11415384615384608,0.00661538461538469,0.4447,1758,198,1
galaxy_s21_ultra,Samsung,battery,29/01/2021,1,0.0533,-0.0381,0.104,0.964,-0.01882307692307693,-0.03015961538461539,-0.06815384615384608,0.012615384615384695,0.2425,769,190,1
galaxy_s21_ultra,Samsung,price,29/01/2021,1,0.0533,-0.0274,0.104,0.964,-0.01882307692307693,-0.019459615384615388,-0.06815384615384608,0.012615384615384695,-0.3063,769,190,1
galaxy_s21_ultra,Samsung,performance,29/01/2021,1,0.0533,-0.0286,0.104,0.964,-0.01882307692307693,-0.020659615384615387,-0.06815384615384608,0.012615384615384695,0.5657,769,190,1
galaxy_s21_ultra,Samsung,display,29/01/2021,1,0.0533,-0.004,0.104,0.964,-0.01882307692307693,0.003940384615384615,-0.06815384615384608,0.012615384615384695,0.5558,769,190,1
